std,neighbor,BE,Diff,Diff %,SetRed
std_1,neighbor_10,1.0,0.0,-0.03,0.999
std_1,neighbor_15,1.0,0.0,-0.03,0.999
std_1,neighbor_2,1.0,-0.004,-0.405,0.996
std_1,neighbor_20,1.0,0.0,-0.008,1.0
std_1,neighbor_5,1.0,0.0,-0.03,0.999
std_1.5,neighbor_10,0.987,0.007,0.731,0.994
std_1.5,neighbor_15,0.987,0.007,0.739,0.994
std_1.5,neighbor_2,0.987,0.006,0.57,0.992
std_1.5,neighbor_20,0.987,0.008,0.798,0.995
std_1.5,neighbor_5,0.987,0.007,0.741,0.994
std_2,neighbor_10,0.961,0.014,1.445,0.975
std_2,neighbor_15,0.961,0.015,1.548,0.976
std_2,neighbor_2,0.961,0.005,0.494,0.966
std_2,neighbor_20,0.961,0.014,1.449,0.975
std_2,neighbor_5,0.961,0.014,1.456,0.975
std_3,neighbor_10,0.878,0.03,3.454,0.909
std_3,neighbor_15,0.878,0.03,3.422,0.908
std_3,neighbor_2,0.878,0.004,0.412,0.882
std_3,neighbor_20,0.878,0.03,3.434,0.908
std_3,neighbor_5,0.878,0.031,3.552,0.909
std_4,neighbor_10,0.707,0.096,13.628,0.803
std_4,neighbor_15,0.707,0.096,13.548,0.803
std_4,neighbor_2,0.707,0.079,11.152,0.786
std_4,neighbor_20,0.707,0.094,13.324,0.801
std_4,neighbor_5,0.707,0.097,13.725,0.804
std_5,neighbor_10,0.664,0.032,4.788,0.695
std_5,neighbor_15,0.664,0.031,4.695,0.695
std_5,neighbor_2,0.664,0.027,4.092,0.691
std_5,neighbor_20,0.664,0.027,4.003,0.69
std_5,neighbor_5,0.664,0.034,5.198,0.698
